customer_loan_id,customer_id,loan_product_id,loan_product_name,loan_category,loan_purpose,loan_status,disbursement_date,disbursed_amount,outstanding_principal,interest_rate,original_tenure_months,remaining_tenure_months,emi_amount,emi_due_date,last_payment_date,collateral_provided,account_id
LOAN00158,CUST00378,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2017-10-15,14656847,771413.0,8.75,19,1,828887.45,28,2026-08-14,Yes,ACC00417
LOAN00159,CUST00379,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-10-30,14550940,2020963.89,13.5,36,5,493790.33,24,2026-08-12,No,ACC00418
LOAN00160,CUST00380,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-08-01,213811,142540.67,13.5,12,8,19147.21,25,2026-07-19,No,ACC00419
LOAN00161,CUST00381,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2017-09-10,44869,36950.94,15.5,17,14,2956.67,28,2026-07-23,Yes,ACC00420
LOAN00162,CUST00382,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2025-09-04,11821722,9457377.6,8.75,30,24,440156.77,7,2026-07-26,Yes,ACC00421
LOAN00163,CUST00383,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2024-09-03,15123890,14098541.53,13.5,59,55,352139.49,7,2026-07-29,No,ACC00422
LOAN00164,CUST00384,LN002,Home Loan,Home,Home Purchase / Construction,Active,2022-12-01,1785066,784347.18,8.7,66,29,34127.5,7,2026-07-31,Yes,ACC00423
LOAN00165,CUST00390,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2025-01-03,35188,26391.0,15.5,12,9,3184.32,18,2026-07-29,Yes,ACC00429
LOAN00166,CUST00393,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-03-01,31686,20163.82,15.5,22,14,1663.81,6,2026-07-27,Yes,ACC00432
LOAN00167,CUST00397,LN004,Used Car Loan,Auto,General,Active,2022-12-29,1880946,1015710.84,12.5,50,27,48453.35,15,2026-08-07,Yes,ACC00436
LOAN00168,CUST00399,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-09-04,3892190,3135375.28,8.75,36,29,123318.23,25,2026-07-23,Yes,ACC00439
LOAN00169,CUST00400,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2020-10-07,112313,9359.42,13.5,12,1,10057.86,7,2026-07-20,No,ACC00440
LOAN00170,CUST00403,LN004,Used Car Loan,Auto,General,Active,2024-08-03,3494585,2391031.84,12.5,57,39,81609.72,8,2026-07-18,Yes,ACC00443
LOAN00171,CUST00405,LN001,Personal Loan,Personal,General,Active,2024-02-08,113668,40415.29,13.0,45,16,3204.88,28,2026-08-11,No,ACC00446
LOAN00172,CUST00408,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2022-08-24,486287,180106.3,15.5,27,10,21448.32,2,2026-08-07,Yes,ACC00449
LOAN00173,CUST00409,LN002,Home Loan,Home,Home Purchase / Construction,Active,2024-08-29,2462575,1477545.0,8.7,100,60,34707.28,14,2026-07-18,Yes,ACC00450
LOAN00174,CUST00410,LN009,Working Capital Finance,Business,Working Capital,Active,2021-09-15,10265349,1710891.5,11.5,12,2,909664.45,6,2026-07-19,Yes,ACC00451
LOAN00175,CUST00411,LN004,Used Car Loan,Auto,General,Active,2025-11-24,4146560,1295800.0,12.5,16,5,282700.66,13,2026-08-06,Yes,ACC00452
LOAN00176,CUST00412,LN007,Gold Loan,Gold,Personal / Emergency,Active,2022-09-16,2163417,824158.86,8.5,21,8,111235.61,4,2026-08-09,Yes,ACC00453
LOAN00177,CUST00414,LN001,Personal Loan,Personal,General,Active,2021-07-13,946766,295864.38,13.0,16,5,64768.42,3,2026-07-17,No,ACC00455
LOAN00178,CUST00416,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2022-05-17,305570,147516.55,15.5,29,14,12700.41,8,2026-08-01,Yes,ACC00457
LOAN00179,CUST00420,LN004,Used Car Loan,Auto,General,Active,2025-11-04,656009,151386.69,12.5,13,3,54218.01,23,2026-08-03,Yes,ACC00461
LOAN00180,CUST00421,LN007,Gold Loan,Gold,Personal / Emergency,Active,2023-07-25,1612160,586240.0,8.5,11,4,152862.07,4,2026-08-15,Yes,ACC00462
LOAN00181,CUST00422,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-07-07,466075,155358.33,13.5,12,4,41737.96,15,2026-07-25,No,ACC00463
LOAN00182,CUST00425,LN009,Working Capital Finance,Business,Working Capital,Active,2023-10-11,7918898,5279265.33,11.5,12,8,701733.57,21,2026-07-24,Yes,ACC00466
LOAN00183,CUST00429,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2025-10-06,13237404,4672024.94,13.5,34,12,470690.74,10,2026-07-14,No,ACC00471
LOAN00184,CUST00430,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-12-22,172736,65520.55,15.5,29,11,7179.43,1,2026-07-15,Yes,ACC00473
LOAN00185,CUST00431,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-04-12,184564,166107.6,8.75,70,63,3375.91,28,2026-07-14,Yes,ACC00474
LOAN00186,CUST00434,LN009,Working Capital Finance,Business,Working Capital,Active,2025-09-08,16081229,4020307.25,11.5,12,3,1425038.97,21,2026-07-20,Yes,ACC00477
LOAN00187,CUST00435,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2023-10-05,1555614,858269.79,8.75,29,16,59707.71,14,2026-07-28,Yes,ACC00478
LOAN00188,CUST00437,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-08-18,304557,73093.68,15.5,25,6,14332.72,3,2026-07-23,Yes,ACC00480
LOAN00189,CUST00438,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2025-10-20,72431,61287.77,15.5,26,22,3297.51,17,2026-08-02,Yes,ACC00481
LOAN00190,CUST00440,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2025-07-07,6637445,5721935.34,13.5,29,25,269513.33,16,2026-08-15,No,ACC00483
LOAN00191,CUST00441,LN001,Personal Loan,Personal,General,Active,2019-07-15,1958327,1774733.84,13.0,32,29,72744.6,14,2026-07-23,No,ACC00484
LOAN00192,CUST00443,LN002,Home Loan,Home,Home Purchase / Construction,Active,2023-09-23,6820275,5967740.62,8.7,88,77,105109.21,7,2026-08-10,Yes,ACC00486
LOAN00193,CUST00444,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2025-04-06,15474483,1105320.21,13.5,14,1,1200841.23,9,2026-07-29,No,ACC00487
LOAN00194,CUST00446,LN006,Education Loan,Education,Education,Active,2022-09-13,249782,5430.04,10.5,46,1,6619.36,5,2026-07-19,No,ACC00489
LOAN00195,CUST00447,LN002,Home Loan,Home,Home Purchase / Construction,Active,2021-06-09,4059251,3790014.96,8.7,196,183,38861.87,27,2026-07-28,Yes,ACC00490
LOAN00196,CUST00450,LN007,Gold Loan,Gold,Personal / Emergency,Active,2025-10-30,4764727,3403376.43,8.5,14,10,358694.54,24,2026-08-09,Yes,ACC00493
LOAN00197,CUST00453,LN001,Personal Loan,Personal,General,Active,2022-08-02,2191949,1761387.59,13.0,56,45,52413.5,2,2026-07-16,No,ACC00496
LOAN00198,CUST00456,LN004,Used Car Loan,Auto,General,Active,2020-07-04,3073055,463857.36,12.5,53,8,75746.93,6,2026-07-28,Yes,ACC00499
LOAN00199,CUST00458,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2022-09-28,7075477,4559751.84,13.5,45,29,201240.48,9,2026-08-06,No,ACC00501
LOAN00200,CUST00461,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2023-07-11,148635,37158.75,13.5,12,3,13310.57,18,2026-07-27,No,ACC00506
LOAN00201,CUST00465,LN004,Used Car Loan,Auto,General,Active,2023-11-08,4604823,2437847.47,12.5,17,9,296967.57,4,2026-07-23,Yes,ACC00510
LOAN00202,CUST00468,LN009,Working Capital Finance,Business,Working Capital,Active,2025-09-11,13530943,3382735.75,11.5,12,3,1199045.24,20,2026-07-16,Yes,ACC00513
LOAN00203,CUST00478,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-06-17,155198,30282.54,15.5,41,8,4899.53,22,2026-08-16,Yes,ACC00524
LOAN00204,CUST00479,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2019-03-04,23952887,17504032.81,13.5,52,38,610943.88,2,2026-08-11,No,ACC00525
LOAN00205,CUST00487,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-11-12,382178,185924.43,15.5,37,18,13058.55,2,2026-07-31,Yes,ACC00535
LOAN00206,CUST00488,LN004,Used Car Loan,Auto,General,Active,2021-02-01,1667362,1111574.67,12.5,60,40,37512.21,22,2026-07-31,Yes,ACC00537
LOAN00207,CUST00489,LN009,Working Capital Finance,Business,Working Capital,Active,2022-09-30,49360657,12340164.25,11.5,12,3,4374097.28,1,2026-07-17,Yes,ACC00538
LOAN00208,CUST00490,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2022-04-22,2463914,1164759.35,13.5,55,26,60321.87,20,2026-07-31,No,ACC00539
LOAN00209,CUST00491,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2025-08-14,445905,111476.25,7.5,20,5,23787.24,24,2026-08-06,No,ACC00541
LOAN00210,CUST00494,LN004,Used Car Loan,Auto,General,Active,2022-08-20,3505548,233703.2,12.5,15,1,253649.19,5,2026-08-05,Yes,ACC00544
LOAN00211,CUST00496,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2020-07-18,342272,114090.67,13.5,12,4,30651.15,4,2026-07-17,No,ACC00546
LOAN00212,CUST00499,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2023-10-03,15593812,4564042.54,13.5,41,12,476869.54,17,2026-07-25,No,ACC00550
LOAN00213,CUST00500,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2018-02-03,1328517,954871.59,9.5,64,46,26539.3,20,2026-07-19,Yes,ACC00552
LOAN00214,CUST00505,LN001,Personal Loan,Personal,General,Active,2024-05-07,2596801,370971.57,13.0,14,2,200908.21,1,2026-08-05,No,ACC00558
LOAN00215,CUST00513,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2022-12-18,130837,21806.17,13.5,12,2,11716.72,11,2026-08-07,No,ACC00569
LOAN00216,CUST00518,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2023-01-13,1195741,865881.41,9.5,29,21,46308.83,28,2026-07-19,Yes,ACC00574
LOAN00217,CUST00519,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-03-09,320657,263651.31,15.5,45,37,9440.78,4,2026-08-11,Yes,ACC00575
LOAN00218,CUST00523,LN002,Home Loan,Home,Home Purchase / Construction,Active,2023-10-26,7898218,6833919.12,8.7,141,122,89627.98,14,2026-07-20,Yes,ACC00579
LOAN00219,CUST00529,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2017-02-10,681028,280423.29,9.5,34,14,22925.47,24,2026-08-08,Yes,ACC00587
LOAN00220,CUST00530,LN007,Gold Loan,Gold,Personal / Emergency,Active,2025-12-31,31338,22791.27,8.5,11,8,2971.41,23,2026-07-19,Yes,ACC00588
LOAN00221,CUST00531,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2021-09-20,9355305,1559217.5,13.5,12,2,837786.53,20,2026-08-14,No,ACC00589
LOAN00222,CUST00532,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2019-02-14,31486452,5247742.0,13.5,36,6,1068501.8,9,2026-07-14,No,ACC00590
LOAN00223,CUST00533,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2018-01-31,25581491,14617994.86,13.5,21,12,1374530.62,12,2026-08-02,No,ACC00591
LOAN00224,CUST00534,LN009,Working Capital Finance,Business,Working Capital,Active,2025-04-24,33582525,25186893.75,11.5,12,9,2975917.26,11,2026-08-03,Yes,ACC00592
LOAN00225,CUST00535,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2023-02-19,156573,104382.0,13.5,12,8,14021.43,1,2026-08-10,No,ACC00593
LOAN00226,CUST00536,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2020-01-09,88922,51698.84,15.5,43,25,2708.12,12,2026-08-05,Yes,ACC00594
LOAN00227,CUST00538,LN001,Personal Loan,Personal,General,Active,2015-10-07,1699117,298090.7,13.0,57,10,40110.03,23,2026-08-02,No,ACC00596
LOAN00228,CUST00544,LN004,Used Car Loan,Auto,General,Active,2022-12-15,3175972,2089455.26,12.5,38,25,101637.12,14,2026-07-17,Yes,ACC00602
LOAN00229,CUST00549,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2022-12-25,1337136,347655.36,7.5,50,13,31221.36,25,2026-07-16,No,ACC00608
LOAN00230,CUST00552,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-09-22,415028,172928.33,13.5,12,5,37166.6,21,2026-07-19,No,ACC00611
LOAN00231,CUST00553,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2019-02-07,237499,19791.58,13.5,12,1,21268.52,2,2026-07-20,No,ACC00612
LOAN00232,CUST00556,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-08-29,81765,40882.5,15.5,28,14,3498.62,28,2026-07-24,Yes,ACC00616
LOAN00233,CUST00558,LN004,Used Car Loan,Auto,General,Active,2016-12-01,726777,313835.52,12.5,44,19,20675.5,11,2026-07-24,Yes,ACC00618
LOAN00234,CUST00559,LN009,Working Capital Finance,Business,Working Capital,Active,2021-02-05,2978543,744635.75,11.5,12,3,263943.75,5,2026-08-03,Yes,ACC00619
LOAN00235,CUST00562,LN004,Used Car Loan,Auto,General,Active,2024-07-21,881845,692878.21,12.5,14,11,68020.39,12,2026-07-22,Yes,ACC00622
LOAN00236,CUST00563,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2023-12-17,5084582,1894256.04,8.75,51,19,119740.43,27,2026-08-05,Yes,ACC00623
LOAN00237,CUST00566,LN006,Education Loan,Education,Education,Active,2021-06-28,219452,13715.75,10.5,16,1,14758.07,24,2026-07-24,No,ACC00626
LOAN00238,CUST00567,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2022-11-24,147591,108522.79,15.5,34,25,5391.18,27,2026-08-08,Yes,ACC00627
LOAN00239,CUST00571,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2019-12-11,5459120,590175.14,8.75,37,4,168874.72,11,2026-08-15,Yes,ACC00631
LOAN00240,CUST00574,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2024-07-08,5643903,4104656.73,13.5,22,16,291029.29,12,2026-07-21,No,ACC00635
LOAN00241,CUST00579,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2023-07-29,6226669,3854604.62,8.75,21,13,320866.19,9,2026-07-28,Yes,ACC00640
LOAN00242,CUST00581,LN002,Home Loan,Home,Home Purchase / Construction,Active,2023-07-16,5438126,5268184.56,8.7,160,155,57540.08,8,2026-07-25,Yes,ACC00642
LOAN00243,CUST00586,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2024-07-09,19199732,11620890.42,13.5,38,23,623720.35,13,2026-08-08,No,ACC00648
LOAN00244,CUST00592,LN001,Personal Loan,Personal,General,Active,2022-07-12,150539,80287.47,13.0,15,8,10927.57,9,2026-08-13,No,ACC00656
LOAN00245,CUST00596,LN001,Personal Loan,Personal,General,Active,2024-12-23,3995528,2605779.13,13.0,23,15,197193.35,23,2026-08-10,No,ACC00660
LOAN00246,CUST00598,LN002,Home Loan,Home,Home Purchase / Construction,Active,2021-09-09,1188761,747478.51,8.7,132,83,14022.32,22,2026-07-31,Yes,ACC00662
LOAN00247,CUST00603,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-04-12,19609939,6033827.38,13.5,39,12,623943.69,28,2026-07-20,No,ACC00667
LOAN00248,CUST00604,LN001,Personal Loan,Personal,General,Active,2024-02-13,3560174,2924428.64,13.0,56,46,85130.26,25,2026-07-20,No,ACC00669
LOAN00249,CUST00607,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2022-10-10,1359624,747793.2,7.5,20,11,72530.46,13,2026-08-05,No,ACC00673
LOAN00250,CUST00609,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-11-16,2049942,1024971.0,13.5,12,6,183576.46,2,2026-08-06,No,ACC00676
LOAN00251,CUST00613,LN001,Personal Loan,Personal,General,Active,2025-06-12,1500369,966339.36,13.0,59,38,34549.83,8,2026-07-29,No,ACC00681
LOAN00252,CUST00614,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-06-07,2420220,232713.46,13.5,52,5,61730.29,15,2026-08-06,No,ACC00682
LOAN00253,CUST00615,LN002,Home Loan,Home,Home Purchase / Construction,Active,2022-04-25,8798816,7518988.22,8.7,165,141,91606.07,19,2026-08-13,Yes,ACC00684
LOAN00254,CUST00619,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2021-06-05,538903,235770.06,7.5,16,7,35498.63,15,2026-08-04,No,ACC00690
LOAN00255,CUST00620,LN009,Working Capital Finance,Business,Working Capital,Active,2018-07-15,4482958,1494319.33,11.5,12,4,397257.56,25,2026-07-20,Yes,ACC00691
LOAN00256,CUST00622,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2023-12-22,1003604,826497.41,9.5,17,14,63330.23,19,2026-07-19,Yes,ACC00693
LOAN00257,CUST00625,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2017-04-23,87906,57593.59,15.5,29,19,3653.64,7,2026-07-20,Yes,ACC00696
LOAN00258,CUST00628,LN009,Working Capital Finance,Business,Working Capital,Active,2024-07-08,29686275,9895425.0,11.5,12,4,2630650.86,15,2026-07-22,Yes,ACC00700
LOAN00259,CUST00629,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-01-22,283909,70977.25,15.5,12,3,25692.18,26,2026-08-13,Yes,ACC00702
LOAN00260,CUST00631,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2022-06-04,472314,157438.0,13.5,12,4,42296.68,22,2026-08-11,No,ACC00704
LOAN00261,CUST00632,LN004,Used Car Loan,Auto,General,Active,2021-03-20,3356639,68502.84,12.5,49,1,87814.72,5,2026-07-26,Yes,ACC00705
LOAN00262,CUST00634,LN002,Home Loan,Home,Home Purchase / Construction,Active,2024-08-15,2021560,1835241.11,8.7,217,197,18518.31,18,2026-07-14,Yes,ACC00707
LOAN00263,CUST00636,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2025-04-01,441724,299741.29,9.5,28,19,17651.0,20,2026-07-26,Yes,ACC00709
LOAN00264,CUST00638,LN004,Used Car Loan,Auto,General,Active,2020-04-07,2277609,1265338.33,12.5,36,20,76194.28,18,2026-08-01,Yes,ACC00711
LOAN00265,CUST00644,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2023-06-26,9641725,6819756.71,13.5,41,29,294850.61,26,2026-08-02,No,ACC00718
LOAN00266,CUST00646,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2024-09-08,2179095,378973.04,13.5,23,4,108057.68,10,2026-07-21,No,ACC00720
LOAN00267,CUST00648,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2024-02-23,666370,526081.58,9.5,76,60,11702.3,25,2026-08-15,Yes,ACC00722
LOAN00268,CUST00650,LN001,Personal Loan,Personal,General,Active,2024-09-25,3447782,1567173.64,13.0,22,10,176977.36,19,2026-08-09,No,ACC00724
LOAN00269,CUST00651,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2022-03-03,334558,31862.67,15.5,21,2,18291.63,26,2026-07-14,Yes,ACC00726
LOAN00270,CUST00653,LN001,Personal Loan,Personal,General,Active,2025-04-09,2624274,1385033.5,13.0,36,19,88422.16,9,2026-07-14,No,ACC00729
LOAN00271,CUST00654,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-12-30,2323739,290467.38,8.75,56,7,50691.3,10,2026-07-30,Yes,ACC00730
LOAN00272,CUST00656,LN001,Personal Loan,Personal,General,Active,2024-09-19,943886,307311.72,13.0,43,14,27575.65,22,2026-07-14,No,ACC00732
LOAN00273,CUST00661,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2023-09-05,9686301,2473098.13,13.5,47,12,266486.92,15,2026-07-30,No,ACC00737
LOAN00274,CUST00663,LN002,Home Loan,Home,Home Purchase / Construction,Active,2023-08-02,1501406,1384413.32,8.7,308,284,12204.14,23,2026-07-14,Yes,ACC00739
LOAN00275,CUST00664,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2021-07-26,33213961,13048341.82,13.5,56,22,802646.03,12,2026-08-17,No,ACC00740
LOAN00276,CUST00666,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2020-01-09,467124,270440.21,15.5,38,22,15633.05,12,2026-07-26,Yes,ACC00742
LOAN00277,CUST00668,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2024-12-25,497207,213088.71,9.5,42,18,13961.61,25,2026-07-15,Yes,ACC00744
LOAN00278,CUST00670,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2020-03-10,3204828,1805536.9,8.75,71,40,57987.15,17,2026-07-26,Yes,ACC00746
LOAN00279,CUST00671,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2023-03-30,1691491,520458.77,9.5,39,12,50581.14,25,2026-08-03,Yes,ACC00747
LOAN00280,CUST00673,LN004,Used Car Loan,Auto,General,Active,2020-10-31,3601919,3390041.41,12.5,51,48,91397.87,9,2026-08-02,Yes,ACC00749
LOAN00281,CUST00674,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2025-10-08,134854,8428.38,15.5,16,1,9383.41,3,2026-07-15,Yes,ACC00750
LOAN00282,CUST00676,LN001,Personal Loan,Personal,General,Active,2025-11-03,3037024,2727123.59,13.0,49,44,80206.66,15,2026-07-17,No,ACC00752
LOAN00283,CUST00677,LN004,Used Car Loan,Auto,General,Active,2025-09-01,179755,76259.7,12.5,33,14,6464.92,16,2026-07-17,Yes,ACC00754
LOAN00284,CUST00678,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2026-03-03,336534,224356.0,13.5,12,8,30137.3,19,2026-07-18,No,ACC00755
LOAN00285,CUST00679,LN009,Working Capital Finance,Business,Working Capital,Active,2024-01-14,1560583,520194.33,11.5,12,4,138291.15,9,2026-07-17,Yes,ACC00756
LOAN00286,CUST00680,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2023-03-04,439431,109857.75,13.5,12,3,39351.94,6,2026-07-31,No,ACC00757
LOAN00287,CUST00682,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2017-10-02,66889,51785.03,15.5,31,24,2632.18,15,2026-07-29,Yes,ACC00759
LOAN00288,CUST00684,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-02-19,372513,131475.18,15.5,17,6,24546.97,10,2026-07-15,Yes,ACC00761
LOAN00289,CUST00686,LN009,Working Capital Finance,Business,Working Capital,Active,2024-11-17,11836261,3945420.33,11.5,12,4,1048870.91,11,2026-07-21,Yes,ACC00763
LOAN00290,CUST00688,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-04-09,227080,94616.67,13.5,12,5,20335.47,14,2026-08-12,No,ACC00765
LOAN00291,CUST00690,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2017-08-09,9994885,249872.12,13.5,40,1,311675.39,8,2026-07-29,No,ACC00767
LOAN00292,CUST00692,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2022-06-22,2825009,1101274.69,13.5,59,23,65776.54,10,2026-08-10,No,ACC00770
LOAN00293,CUST00693,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2020-05-21,3558951,699079.66,8.75,56,11,77636.88,15,2026-07-30,Yes,ACC00772
LOAN00294,CUST00697,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-10-19,243143,20261.92,15.5,24,2,11847.03,28,2026-08-08,Yes,ACC00776
LOAN00295,CUST00702,LN001,Personal Loan,Personal,General,Active,2021-01-20,2232300,1240166.67,13.0,27,15,95801.91,6,2026-07-16,No,ACC00782
LOAN00296,CUST00703,LN004,Used Car Loan,Auto,General,Active,2019-04-08,3025202,1790425.67,12.5,49,29,79143.83,10,2026-08-01,Yes,ACC00783
LOAN00297,CUST00704,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-09-02,461285,76880.83,13.5,12,2,41309.01,11,2026-08-10,No,ACC00784
LOAN00298,CUST00705,LN004,Used Car Loan,Auto,General,Active,2023-05-16,3335346,1539390.46,12.5,26,12,147100.25,16,2026-08-02,Yes,ACC00785
LOAN00299,CUST00708,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2024-11-04,2891301,1321737.6,13.5,35,16,100394.61,27,2026-08-16,No,ACC00788
LOAN00300,CUST00714,LN004,Used Car Loan,Auto,General,Active,2019-01-21,4287785,168148.43,12.5,51,2,108801.57,4,2026-07-24,Yes,ACC00795
LOAN00301,CUST00717,LN009,Working Capital Finance,Business,Working Capital,Active,2026-05-02,27856040,20892030.0,11.5,12,9,2468464.49,23,2026-08-13,Yes,ACC00799
LOAN00302,CUST00718,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2024-03-15,6472334,4314889.33,13.5,27,18,279298.87,2,2026-07-30,No,ACC00800
LOAN00303,CUST00719,LN007,Gold Loan,Gold,Personal / Emergency,Active,2023-11-03,134651,38471.71,8.5,7,2,19784.72,20,2026-07-22,Yes,ACC00802
LOAN00304,CUST00720,LN009,Working Capital Finance,Business,Working Capital,Active,2025-08-02,7964190,4645777.5,11.5,12,7,705747.13,11,2026-08-14,Yes,ACC00803
LOAN00305,CUST00721,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-05-19,47813,3984.42,13.5,12,1,4281.75,21,2026-07-22,No,ACC00805
LOAN00306,CUST00722,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2025-07-20,439990,21999.5,15.5,20,1,25104.31,1,2026-07-18,Yes,ACC00806
LOAN00307,CUST00723,LN001,Personal Loan,Personal,General,Active,2019-09-25,289798,159888.55,13.0,29,16,11698.42,24,2026-08-16,No,ACC00807
LOAN00308,CUST00727,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2025-02-28,210433,6189.21,15.5,34,1,7686.66,24,2026-07-19,Yes,ACC00811
LOAN00309,CUST00729,LN004,Used Car Loan,Auto,General,Active,2022-02-18,4766861,1191715.25,12.5,56,14,112780.42,6,2026-07-21,Yes,ACC00813
LOAN00310,CUST00733,LN001,Personal Loan,Personal,General,Active,2025-10-04,3109325,1472838.16,13.0,19,9,181949.97,17,2026-07-14,No,ACC00818
LOAN00311,CUST00735,LN004,Used Car Loan,Auto,General,Active,2025-09-18,1055168,131896.0,12.5,40,5,32390.61,1,2026-07-15,Yes,ACC00820
LOAN00312,CUST00738,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-08-24,213031,129340.25,15.5,28,17,9115.33,22,2026-08-03,Yes,ACC00823
LOAN00313,CUST00746,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2018-07-08,1608635,670264.58,7.5,48,20,38895.03,8,2026-07-30,No,ACC00832
LOAN00314,CUST00750,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-08-21,433755,108438.75,13.5,12,3,38843.64,7,2026-08-02,No,ACC00836
LOAN00315,CUST00751,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-03-14,5902008,1298441.76,8.75,50,11,141287.63,2,2026-07-30,Yes,ACC00838
