customer_loan_id,customer_id,loan_product_id,loan_product_name,loan_category,loan_account_number_masked,loan_status,sanctioned_amount,disbursed_amount,outstanding_principal,interest_rate,tenure_months,remaining_tenure_months,emi_amount,start_date,next_emi_date,repayment_status
CL00283,CUST00283,LN004,Used Car Loan,Auto,XXXXXX9298,Active,830000,822242.12,643863.09,10.5,101,11,61650.6,2025-09-11,2026-09-10,Delayed
CL00284,CUST00284,LN002,Home Loan,Home,XXXXXX2732,Active,5180000,4646281.5,1726113.73,10.5,179,109,24634.44,2023-08-28,2026-09-05,Regular
CL00285,CUST00285,LN006,Education Loan,Education,XXXXXX4783,Active,2690000,2597625.15,1224589.8,10.5,130,11,117255.83,2023-06-07,2026-08-26,Regular
CL00288,CUST00288,LN008,Business Loan,Business,XXXXXX2468,Active,1610000,1553949.09,1050598.33,10.5,91,26,45353.9,2025-07-29,2026-09-09,Regular
CL00289,CUST00289,LN004,Used Car Loan,Auto,XXXXXX2924,Active,440000,429869.62,220066.24,10.5,141,118,2998.03,2025-01-19,2026-08-28,Delayed
CL00291,CUST00291,LN011,Loan Against Securities,Investment,XXXXXX4702,Active,2000000,1869971.37,787268.97,10.5,89,64,16117.54,2026-02-03,2026-09-17,Regular
CL00295,CUST00295,LN013,Commercial Vehicle Finance,Commercial,XXXXXX2999,Active,110000,101511.85,48054.74,10.5,140,45,1296.49,2026-01-31,2026-09-05,Regular
CL00296,CUST00296,LN009,Working Capital Finance,Business,XXXXXX8927,Active,9280000,8548596.52,2913415.92,10.5,109,68,57028.92,2025-03-20,2026-08-21,Regular
CL00297,CUST00297,LN004,Used Car Loan,Auto,XXXXXX7318,Active,1600000,1572355.24,548696.61,10.5,87,31,20285.68,2026-01-17,2026-09-01,Regular
CL00299,CUST00299,LN006,Education Loan,Education,XXXXXX1448,Active,740000,645470.37,410529.57,10.5,141,111,5795.75,2021-04-17,2026-09-16,Regular
