customer_investment_id,customer_id,investment_product_id,investment_product_name,investment_category,provider,investment_type,investment_mode,monthly_amount,initial_investment_amount,total_invested_amount,current_value,start_date,status
INVH00246,CUST00246,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2024-05-21,Active
INVH00248,CUST00248,INV011,Gold ETF,Gold ETF,HDFC Securities,Gold ETF,Direct Purchase,0,75000,75000,75287.17,2026-02-24,Active
INVH00249,CUST00249,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,10000,10000,410000,426031.47,2023-03-12,Active
INVH00250,CUST00250,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,25000,25000,25078.43,2025-05-20,Active
INVH00252,CUST00252,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,200000,200000,208814.75,2022-02-18,Active
INVH00253,CUST00253,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,1000000,1000000,1236723.24,2020-04-03,Active
INVH00255,CUST00255,INV011,Gold ETF,Gold ETF,HDFC Securities,Gold ETF,Direct Purchase,0,500000,500000,536013.16,2024-06-02,Active
INVH00256,CUST00256,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,9483.83,2025-06-18,Active
INVH00258,CUST00258,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,26964.37,2025-11-07,Active
INVH00259,CUST00259,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2026-08-10,Active
INVH00261,CUST00261,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,5000,5000,100000,110559.83309678386,2024-12-25,Active
INVH00262,CUST00262,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,1000,1000,19000,19715.89,2025-01-02,Active
INVH00263,CUST00263,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,5000,5000,10000,11138.01,2026-06-23,Active
INVH00264,CUST00264,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,10724.42,2025-08-10,Active
INVH00266,CUST00266,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,1000,1000,17000,18645.30590856946,2025-03-02,Active
INVH00269,CUST00269,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,10000,10000,10858.36,2026-03-28,Active
INVH00270,CUST00270,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,1000000,1000000,1215869.98,2025-08-15,Active
INVH00271,CUST00271,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,223566.59,2024-04-15,Active
INVH00272,CUST00272,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,25000,25000,26073.2,2026-07-02,Active
INVH00276,CUST00276,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,9253.72,2025-12-01,Active
INVH00279,CUST00279,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,12295.72,2023-06-26,Active
INVH00280,CUST00280,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2025-04-30,Active
INVH00281,CUST00281,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,100000,100000,105394.44,2024-06-12,Active
INVH00282,CUST00282,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,12146.8,2024-02-02,Active
INVH00285,CUST00285,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,53549.96,2023-12-19,Active
INVH00288,CUST00288,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,75000,75000,71953.46,2026-04-29,Active
INVH00290,CUST00290,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,7500,7500,202500,219077.75894828633,2024-05-28,Active
INVH00291,CUST00291,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,232172.7,2025-03-09,Active
INVH00292,CUST00292,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,99481.4,2026-03-28,Active
INVH00294,CUST00294,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,49462.03,2022-06-06,Active
INVH00296,CUST00296,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,135000,154216.23791911957,2025-11-30,Active
INVH00297,CUST00297,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,75000,75000,69931.47,2025-12-03,Active
INVH00298,CUST00298,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,50000,50000,1250000,1323917.632926973,2024-07-26,Active
INVH00300,CUST00300,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,1000000,1000000,1213458.63,2020-09-20,Active
